# Chunk-averaged data for fix bi and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/number
11000 400 2746
  1 0.025 0.025 0 0
  2 0.025 0.075 0 0
  3 0.025 0.125 0 0
  4 0.025 0.175 0 0
  5 0.025 0.225 0 0
  6 0.025 0.275 0 0
  7 0.025 0.325 0 0
  8 0.025 0.375 0 0
  9 0.025 0.425 0 0
  10 0.025 0.475 0 0
  11 0.025 0.525 0 0
  12 0.025 0.575 0 0
  13 0.025 0.625 0 0
  14 0.025 0.675 0 0
  15 0.025 0.725 0 0
  16 0.025 0.775 0 0
  17 0.025 0.825 0 0
  18 0.025 0.875 0 0
  19 0.025 0.925 0 0
  20 0.025 0.975 0 0
  21 0.075 0.025 0 0
  22 0.075 0.075 0 0
  23 0.075 0.125 0 0
  24 0.075 0.175 0 0
  25 0.075 0.225 0 0
  26 0.075 0.275 0 0
  27 0.075 0.325 0 0
  28 0.075 0.375 0 0
  29 0.075 0.425 0 0
  30 0.075 0.475 0 0
  31 0.075 0.525 0 0
  32 0.075 0.575 0 0
  33 0.075 0.625 0 0
  34 0.075 0.675 0 0
  35 0.075 0.725 0 0
  36 0.075 0.775 0 0
  37 0.075 0.825 0 0
  38 0.075 0.875 0 0
  39 0.075 0.925 0 0
  40 0.075 0.975 0 0
  41 0.125 0.025 0 0
  42 0.125 0.075 0 0
  43 0.125 0.125 0 0
  44 0.125 0.175 0 0
  45 0.125 0.225 0 0
  46 0.125 0.275 4 0.0277778
  47 0.125 0.325 11 0.0763889
  48 0.125 0.375 11 0.0763889
  49 0.125 0.425 2 0.0138889
  50 0.125 0.475 0 0
  51 0.125 0.525 0 0
  52 0.125 0.575 0 0
  53 0.125 0.625 0 0
  54 0.125 0.675 0 0
  55 0.125 0.725 0 0
  56 0.125 0.775 0 0
  57 0.125 0.825 0 0
  58 0.125 0.875 0 0
  59 0.125 0.925 0 0
  60 0.125 0.975 0 0
  61 0.175 0.025 0 0
  62 0.175 0.075 0 0
  63 0.175 0.125 0 0
  64 0.175 0.175 0 0
  65 0.175 0.225 9 0.0625
  66 0.175 0.275 24 0.166667
  67 0.175 0.325 23 0.159722
  68 0.175 0.375 22 0.152778
  69 0.175 0.425 20 0.138889
  70 0.175 0.475 9 0.0625
  71 0.175 0.525 0 0
  72 0.175 0.575 0 0
  73 0.175 0.625 0 0
  74 0.175 0.675 0 0
  75 0.175 0.725 0 0
  76 0.175 0.775 0 0
  77 0.175 0.825 0 0
  78 0.175 0.875 0 0
  79 0.175 0.925 0 0
  80 0.175 0.975 0 0
  81 0.225 0.025 0 0
  82 0.225 0.075 0 0
  83 0.225 0.125 0 0
  84 0.225 0.175 7 0.0486111
  85 0.225 0.225 21 0.145833
  86 0.225 0.275 22 0.152778
  87 0.225 0.325 22 0.152778
  88 0.225 0.375 23 0.159722
  89 0.225 0.425 21 0.145833
  90 0.225 0.475 26 0.180556
  91 0.225 0.525 2 0.0138889
  92 0.225 0.575 0 0
  93 0.225 0.625 0 0
  94 0.225 0.675 0 0
  95 0.225 0.725 0 0
  96 0.225 0.775 0 0
  97 0.225 0.825 0 0
  98 0.225 0.875 0 0
  99 0.225 0.925 0 0
  100 0.225 0.975 0 0
  101 0.275 0.025 0 0
  102 0.275 0.075 0 0
  103 0.275 0.125 1 0.00694444
  104 0.275 0.175 20 0.138889
  105 0.275 0.225 23 0.159722
  106 0.275 0.275 24 0.166667
  107 0.275 0.325 23 0.159722
  108 0.275 0.375 22 0.152778
  109 0.275 0.425 23 0.159722
  110 0.275 0.475 19 0.131944
  111 0.275 0.525 23 0.159722
  112 0.275 0.575 4 0.0277778
  113 0.275 0.625 0 0
  114 0.275 0.675 0 0
  115 0.275 0.725 0 0
  116 0.275 0.775 0 0
  117 0.275 0.825 0 0
  118 0.275 0.875 0 0
  119 0.275 0.925 0 0
  120 0.275 0.975 0 0
  121 0.325 0.025 0 0
  122 0.325 0.075 0 0
  123 0.325 0.125 7 0.0486111
  124 0.325 0.175 22 0.152778
  125 0.325 0.225 23 0.159722
  126 0.325 0.275 23 0.159722
  127 0.325 0.325 22 0.152778
  128 0.325 0.375 23 0.159722
  129 0.325 0.425 23 0.159722
  130 0.325 0.475 22 0.152778
  131 0.325 0.525 23 0.159722
  132 0.325 0.575 11 0.0763889
  133 0.325 0.625 0 0
  134 0.325 0.675 0 0
  135 0.325 0.725 0 0
  136 0.325 0.775 0 0
  137 0.325 0.825 0 0
  138 0.325 0.875 0 0
  139 0.325 0.925 0 0
  140 0.325 0.975 0 0
  141 0.375 0.025 0 0
  142 0.375 0.075 0 0
  143 0.375 0.125 8 0.0555556
  144 0.375 0.175 23 0.159722
  145 0.375 0.225 22 0.152778
  146 0.375 0.275 21 0.145833
  147 0.375 0.325 25 0.173611
  148 0.375 0.375 21 0.145833
  149 0.375 0.425 21 0.145833
  150 0.375 0.475 23 0.159722
  151 0.375 0.525 23 0.159722
  152 0.375 0.575 13 0.0902778
  153 0.375 0.625 0 0
  154 0.375 0.675 0 0
  155 0.375 0.725 0 0
  156 0.375 0.775 0 0
  157 0.375 0.825 0 0
  158 0.375 0.875 0 0
  159 0.375 0.925 0 0
  160 0.375 0.975 0 0
  161 0.425 0.025 0 0
  162 0.425 0.075 0 0
  163 0.425 0.125 4 0.0277778
  164 0.425 0.175 22 0.152778
  165 0.425 0.225 21 0.145833
  166 0.425 0.275 24 0.166667
  167 0.425 0.325 22 0.152778
  168 0.425 0.375 21 0.145833
